model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.9584143865853993,0.05355280346422439,0.038964295707657866,0.002867902758877844
Bonded-Layer Adsorption,analytical,0.9369505261479635,0.06594037129850337,0.049416356827539684,0.004348132566984487
Landau-Levich Wet/Mobile Layer,analytical,0.9369292475703371,0.0659514974733869,0.049545906036155156,0.004349600018982158
Bayesian Optimized RF,machine_learning,0.9988020565399167,0.009089266041510747,0.006567123817665703,8.261475717336043e-05
