model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,-1.0395561366902002,0.19468563500186728,0.16678358702757742,0.037902496476080294
Bonded-Layer Adsorption,analytical,-2.206921586571496,0.2441238704560191,0.21133195693101856,0.0595964641264272
Landau-Levich Wet/Mobile Layer,analytical,-11.492506849947189,0.481826713431707,0.4551097624723215,0.23215698177640032
Bayesian Optimized RF,machine_learning,0.9610855675989943,0.02689189621528445,0.013063622695258958,0.00072317408205363
