model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.5687139986675132,0.08952591272612274,0.06744091896390202,0.008014889049445346
Bonded-Layer Adsorption,analytical,-1.2931886939071546e-07,0.13632204876942355,0.11393021992889181,0.018583700980693094
Landau-Levich Wet/Mobile Layer,analytical,-11.492506849947189,0.481826713431707,0.4551097624723215,0.23215698177640032
Bayesian Optimized RF,machine_learning,0.9610855675989943,0.02689189621528445,0.013063622695258958,0.00072317408205363
