model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.9260149699458863,0.07143031776987456,0.0556850032504495,0.005102290296705257
Bonded-Layer Adsorption,analytical,-1.963036799779161e-08,0.2626096368607798,0.2300792997353885,0.06896382137215064
Landau-Levich Wet/Mobile Layer,analytical,-0.9431836495142749,0.36607289911673746,0.34233437807167616,0.13400936746773304
Bayesian Optimized RF,machine_learning,0.9988020565399167,0.009089266041510747,0.006567123817665703,8.261475717336043e-05
