model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.25157639909732255,0.11793421304880197,0.09156293700037206,0.013908478607440215
Landau-Levich Wet/Mobile Layer,analytical,-11.492506849947189,0.481826713431707,0.4551097624723215,0.23215698177640032
Bonded-Layer Adsorption,analytical,-12.058069849977826,0.49261266132280795,0.47337462491991394,0.24266723409553947
Bayesian Optimized RF,machine_learning,0.9610855675989943,0.02689189621528445,0.013063622695258958,0.00072317408205363
