Model,R2,RMSE,MAE,MSE
BPNN,0.11138459326541295,0.06824826559676904,0.06242646446385742,0.004657825756967128
KNN,0.6453418124006357,0.043116122274620215,0.03150000000000001,0.0018590000000000015
Linear Regression,0.42954579005537363,0.054682088631712096,0.04601579012139795,0.002990130817126417
Random Forest,0.8984697491609248,0.02306919442636621,0.019919444444444583,0.0005321877314814859
