model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,-2.8351994083939434,0.17730934132908485,0.15859457893464474,0.03143860252255392
Bonded-Layer Adsorption,analytical,-3.3982801683906647,0.18987994041697237,0.16690418720381336,0.03605439177275298
Landau-Levich Wet/Mobile Layer,analytical,-23.76817970006682,0.45059325519996546,0.4204639856895253,0.20303428163170117
Bayesian Optimized RF,machine_learning,0.9811232787135902,0.012439442684566988,0.0062125439393321625,0.00015473973430262718
