model,type,R2,RMSE,MAE,MSE
Landau-Levich Wet/Mobile Layer,analytical,0.6725871740877243,0.051806647086350244,0.044479829372764505,0.002683928682329642
Bonded-Layer Adsorption,analytical,0.6724962810196374,0.05181383760847811,0.04457259721095517,0.0026846737677177408
Concentration-Dependent Adsorption Time,analytical,0.6692470786900995,0.052070228798450795,0.044381318308453654,0.0027113087271230145
Bayesian Optimized RF,machine_learning,0.9811232787135902,0.012439442684566988,0.0062125439393321625,0.00015473973430262718
