model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.28086132235199457,0.2226983393147834,0.20196531054351385,0.049594550333562394
Bonded-Layer Adsorption,analytical,-0.2741049021020687,0.29642392135771406,0.2595750485200196,0.08786714115308425
Landau-Levich Wet/Mobile Layer,analytical,-0.9431836495142749,0.36607289911673746,0.34233437807167616,0.13400936746773304
Bayesian Optimized RF,machine_learning,0.9988020565399167,0.009089266041510747,0.006567123817665703,8.261475717336043e-05
