cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
primary,grouped_cv,5,hexane,saturating_mobile,same_solvent,12,,,202.31361483663417,148.8369278990679,False,0.045495764807531765
primary,grouped_cv,5,toluene,fixed_lld,same_solvent,9,1.0,,,,,
primary,grouped_cv,5,toluene,local_mean,same_solvent,9,,0.18185185185185182,,,,
primary,grouped_cv,5,toluene,scaled_lld,same_solvent,9,0.0025475140010207276,,,,,
primary,grouped_cv,5,toluene,saturating_mobile,same_solvent,9,,,0.18501278548006325,0.00025633718596494254,False,0.003391382958506074
primary,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,fixed_lld,pooled_other_solvents,27,1.0,,,,,
primary,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,local_mean,pooled_other_solvents,27,,1.7103703703703703,,,,
primary,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,scaled_lld,pooled_other_solvents,27,0.03852230065833056,,,,,
primary,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,saturating_mobile,pooled_other_solvents,27,,,4.584284816679626,0.8939116626136031,False,5.955948673643389
primary,leave_one_solvent_out,hexane,hexane,fixed_lld,pooled_other_solvents,20,1.0,,,,,
primary,leave_one_solvent_out,hexane,hexane,local_mean,pooled_other_solvents,20,,0.6013333333333333,,,,
primary,leave_one_solvent_out,hexane,hexane,scaled_lld,pooled_other_solvents,20,0.007809425383469147,,,,,
primary,leave_one_solvent_out,hexane,hexane,saturating_mobile,pooled_other_solvents,20,,,0.9725289616649476,0.12261967837067017,False,0.2981105185710561
primary,leave_one_solvent_out,toluene,toluene,fixed_lld,pooled_other_solvents,25,1.0,,,,,
primary,leave_one_solvent_out,toluene,toluene,local_mean,pooled_other_solvents,25,,2.1642666666666663,,,,
primary,leave_one_solvent_out,toluene,toluene,scaled_lld,pooled_other_solvents,25,0.7700078411409451,,,,,
primary,leave_one_solvent_out,toluene,toluene,saturating_mobile,pooled_other_solvents,25,,,29.61409449016579,26.241131372458923,False,3.187078382532688
primary,ood_low_concentration,low,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
primary,ood_low_concentration,low,ethyl_acetate,local_mean,same_solvent,7,,1.268809523809524,,,,
primary,ood_low_concentration,low,ethyl_acetate,scaled_lld,same_solvent,7,0.27561525953307114,,,,,
primary,ood_low_concentration,low,ethyl_acetate,saturating_mobile,same_solvent,7,,,3.416361577179062,4.256432662703203,False,0.18752772471696177
primary,ood_low_concentration,low,hexane,fixed_lld,same_solvent,12,1.0,,,,,
primary,ood_low_concentration,low,hexane,local_mean,same_solvent,12,,3.6159722222222217,,,,
primary,ood_low_concentration,low,hexane,scaled_lld,same_solvent,12,1.037702913171761,,,,,
primary,ood_low_concentration,low,hexane,saturating_mobile,same_solvent,12,,,645.3002260623786,497.7738300962062,False,0.07517545646108059
primary,ood_low_concentration,low,toluene,fixed_lld,same_solvent,8,1.0,,,,,
primary,ood_low_concentration,low,toluene,local_mean,same_solvent,8,,0.19208333333333333,,,,
primary,ood_low_concentration,low,toluene,scaled_lld,same_solvent,8,0.0025611066637445455,,,,,
primary,ood_low_concentration,low,toluene,saturating_mobile,same_solvent,8,,,0.1932256878548236,0.0003407949163880802,False,0.004590936009600395
primary,ood_high_concentration,high,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
primary,ood_high_concentration,high,ethyl_acetate,local_mean,same_solvent,7,,0.8371428571428572,,,,
primary,ood_high_concentration,high,ethyl_acetate,scaled_lld,same_solvent,7,0.4675320718884027,,,,,
