cohort,protocol,model,solvent,n,groups,group_weighted_rmse_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,leave_one_solvent_out,mean,all,141,40,2.785420352732943,2.1513947351403457,1.277732521979083,-0.23422790884836786
including_summaries_sensitivity,leave_one_solvent_out,mean,ethyl_acetate,33,9,0.6638996137880551,0.652848036312641,0.49087822671155995,-0.02737848409584198
including_summaries_sensitivity,leave_one_solvent_out,mean,hexane,58,16,4.182640922085411,3.06886956045954,1.6584669713336102,-0.24437467783406452
including_summaries_sensitivity,leave_one_solvent_out,mean,toluene,50,15,1.3282579079985215,1.3587623175609918,1.3554043956043955,-201.57221181832233
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,all,141,40,3.483582448406176,3.3749097390037157,1.6631562603659147,-2.0372426105908246
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,ethyl_acetate,33,9,0.7096975614908961,0.6550741520034341,0.45819797957093417,-0.034396848281945225
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,hexane,58,16,3.7452348270951323,2.7361678872766753,1.4098028963134563,0.010809836787688876
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,toluene,50,15,4.134830014831619,4.811668185662521,2.752318627991453,-2539.295407146493
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,all,141,40,2.8014779164130026,2.440095519743521,1.2609013412315453,-0.587701352299328
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,ethyl_acetate,33,9,0.5548422916606534,0.5099180453724508,0.40526243463186656,0.37323169760582786
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,hexane,58,16,3.7330204383002528,2.74740711202979,1.4220176386903325,0.0026666490086694195
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,toluene,50,15,2.4247807522079707,2.804084614298497,1.6387281145351391,-861.7304184070973
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,all,141,40,3.7923623760898812,3.6792416982595952,2.0317805426494124,-2.609705713696479
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,ethyl_acetate,33,9,1.2921199921346602,1.192279456767709,1.0033333333333334,-2.426591900736297
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,hexane,58,16,4.140374438580109,3.0358993738728888,1.7401542688054572,-0.2177805996415001
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,toluene,50,15,4.366318976974053,5.15211280036369,3.0488421784570137,-2911.4843984032605
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,all,141,40,6.3542055241281385,7.508506811430023,2.93684114756957,-14.033576704621321
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,ethyl_acetate,33,9,1.0128991616894236,0.9253276889848079,0.7048295993455715,-1.0639414728903187
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,hexane,58,16,3.9551973248773207,2.893619698338575,1.7362858043101004,-0.10631094841114486
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,toluene,50,15,9.506159607500793,12.194556530027993,5.802612967578393,-16315.421068783315
including_summaries_sensitivity,leave_one_solvent_out,saturating_mobile,all,141,40,5.066528314329934,5.545306798476759,2.3973342172324297,-7.199857730093006
including_summaries_sensitivity,leave_one_solvent_out,saturating_mobile,ethyl_acetate,33,9,1.2233658840097072,1.1082266702168517,0.7903618631718838,-1.9604890360311344
including_summaries_sensitivity,leave_one_solvent_out,saturating_mobile,hexane,58,16,4.0222892320592125,2.924285188756535,1.4415256890298096,-0.12988373027645905
including_summaries_sensitivity,leave_one_solvent_out,saturating_mobile,toluene,50,15,7.092050850350766,8.716991501849895,4.566673863627428,-8336.313400906223
including_summaries_sensitivity,leave_one_solvent_out,scaled_lld,all,141,40,11.41100987106966,13.818575157563911,4.9428235505694245,-49.9192138105706
including_summaries_sensitivity,leave_one_solvent_out,scaled_lld,ethyl_acetate,33,9,1.1444802716113336,1.0609685783382123,0.9178970703030314,-1.7133842888766537
including_summaries_sensitivity,leave_one_solvent_out,scaled_lld,hexane,58,16,4.449458928502672,3.3087322365076846,1.8713141636254624,-0.446497046872784
including_summaries_sensitivity,leave_one_solvent_out,scaled_lld,toluene,50,15,18.036803817332466,22.913865679047433,11.162225916400237,-57607.9033040992
including_summaries_sensitivity,ood_high_concentration,fixed_lld,all,30,9,30.394485986010597,38.548275359185205,25.11988414768693,-123.26711468021557
including_summaries_sensitivity,ood_high_concentration,fixed_lld,ethyl_acetate,6,2,6.3508380292333335,6.350838029233334,6.02053760497146,-78.34692432213406
including_summaries_sensitivity,ood_high_concentration,fixed_lld,hexane,10,4,0.410101192946516,0.41272511350728397,0.32767111330525206,0.9798388548596317
including_summaries_sensitivity,ood_high_concentration,fixed_lld,toluene,14,3,52.38665219908348,56.27444466489488,51.014041976266185,-577282.6420936511
including_summaries_sensitivity,ood_high_concentration,local_mean,all,30,9,5.14046331272418,3.8442121970647927,2.2590806878306884,-0.23583648967394244
including_summaries_sensitivity,ood_high_concentration,local_mean,ethyl_acetate,6,2,1.4140792297559608,1.4140792297559608,1.2211904761904764,-2.933829296693293
including_summaries_sensitivity,ood_high_concentration,local_mean,hexane,10,4,7.644864551602316,6.566197694289582,5.887777777777778,-4.102950004348884
including_summaries_sensitivity,ood_high_concentration,local_mean,toluene,14,3,0.12139664977824124,0.1170410394293997,0.11196428571428577,-1.4971415201822924
including_summaries_sensitivity,ood_high_concentration,mean,all,30,9,5.412289009595216,4.088857338334535,2.6026186186186187,-0.3981385995255933
including_summaries_sensitivity,ood_high_concentration,mean,ethyl_acetate,6,2,1.604694336262128,1.6046943362621282,1.4376126126126128,-4.065853932223802
including_summaries_sensitivity,ood_high_concentration,mean,hexane,10,4,8.028915142925053,6.951197581477285,6.314279279279279,-4.718902218508721
including_summaries_sensitivity,ood_high_concentration,mean,toluene,14,3,0.4589297679159302,0.45676567556321485,0.45072072072072045,-37.03240043252708
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,all,30,9,4.3382108351022035,3.4604528230978184,2.810567885401635,-0.001410579308212645
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,ethyl_acetate,6,2,1.1672527183432646,1.1672527183432646,0.9221892261904762,-1.680388905874577
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,hexane,10,4,5.981670138213486,4.912786784409949,3.960612198773448,-1.8565987186773678
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,toluene,14,3,2.8008445667717274,2.7993927770776206,2.7984128012265517,-1427.546860481262
including_summaries_sensitivity,ood_high_concentration,rf_raw,all,30,9,4.051590380506518,2.9286422322495205,1.8354662926887926,0.28273613660468466
including_summaries_sensitivity,ood_high_concentration,rf_raw,ethyl_acetate,6,2,1.1387617570385529,1.1387617570385526,0.8879552074314575,-1.551136940460407
including_summaries_sensitivity,ood_high_concentration,rf_raw,hexane,10,4,5.991370637493402,4.92230283847176,3.9724098773448775,-1.8676758837412768
including_summaries_sensitivity,ood_high_concentration,rf_raw,toluene,14,3,0.7208366344873378,0.7189793044622851,0.7151541973304477,-93.23225733634109
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,all,30,9,3.8139692972040202,3.435819202964391,2.8882839590696974,0.012795980814620744
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,ethyl_acetate,6,2,0.7025187700181527,0.7025187700181527,0.5358158388741477,0.029079013940345178
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,hexane,10,4,4.70978910758532,3.8472202498244,3.1155323746177235,-0.7518120316437595
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,toluene,14,3,3.7059293573030323,3.809512301217739,3.7341642851906296,-2644.4866617683565
including_summaries_sensitivity,ood_high_concentration,ridge_raw,all,30,9,14.044200594667911,17.642138890655797,12.372535779154637,-25.02847856407518
including_summaries_sensitivity,ood_high_concentration,ridge_raw,ethyl_acetate,6,2,3.1214287193565506,3.1214287193565506,2.9713284829339917,-18.167914674378764
including_summaries_sensitivity,ood_high_concentration,ridge_raw,hexane,10,4,3.852416442562476,3.324454112282917,2.9429596040509702,-0.3080793517210325
including_summaries_sensitivity,ood_high_concentration,ridge_raw,toluene,14,3,23.778877523281622,25.59069597134419,23.137036174037526,-119378.84484594793
including_summaries_sensitivity,ood_high_concentration,saturating_mobile,all,30,9,2.7419989770958066,1.9203219550901838,1.0618346792761004,0.6916141774233627
including_summaries_sensitivity,ood_high_concentration,saturating_mobile,ethyl_acetate,6,2,1.1864292025765197,1.1864292025765197,0.9532123741924278,-1.7691831435163539
including_summaries_sensitivity,ood_high_concentration,saturating_mobile,hexane,10,4,4.023286547642939,3.189251339561853,2.364402827598524,-0.2038459001952384
including_summaries_sensitivity,ood_high_concentration,saturating_mobile,toluene,14,3,0.1865997769905672,0.18325738159224972,0.17798127551022885,-5.121949879071143
including_summaries_sensitivity,ood_high_concentration,scaled_lld,all,30,9,4.8502701492869775,6.1089741333686405,4.254795674237389,-2.1209217655247983
including_summaries_sensitivity,ood_high_concentration,scaled_lld,ethyl_acetate,6,2,1.8315891050418474,1.8315891050418471,1.7187979349713107,-5.599698971517366
including_summaries_sensitivity,ood_high_concentration,scaled_lld,hexane,10,4,0.6681014199884683,0.6167227729120237,0.5462117994071709,0.9549833290079867
including_summaries_sensitivity,ood_high_concentration,scaled_lld,toluene,14,3,8.230658324431497,8.846529453409088,7.99064033023015,-14265.343322662538
including_summaries_sensitivity,ood_low_concentration,fixed_lld,all,42,9,0.24567212662463997,0.22496577223220915,0.17643104942300708,-0.6805306158413416
including_summaries_sensitivity,ood_low_concentration,fixed_lld,ethyl_acetate,9,2,0.4329491766187462,0.40218124948060213,0.3777045666616218,-5.556766265707159
including_summaries_sensitivity,ood_low_concentration,fixed_lld,hexane,21,4,0.13226229920487226,0.11475350801023332,0.09826857041902061,-0.8522742127738945
including_summaries_sensitivity,ood_low_concentration,fixed_lld,toluene,12,3,0.18104318266546338,0.18104318266546338,0.16226024975102246,-3.633194556305299
including_summaries_sensitivity,ood_low_concentration,local_mean,all,42,9,2.3158596503906046,2.4692203686730623,1.9210770975056688,-201.4572050320549
including_summaries_sensitivity,ood_low_concentration,local_mean,ethyl_acetate,9,2,0.7379066195246674,0.7803352551020962,0.7643650793650796,-23.683601210477207
including_summaries_sensitivity,ood_low_concentration,local_mean,hexane,21,4,3.4327364497116597,3.4531922323213045,3.452162698412698,-1676.315845137028
including_summaries_sensitivity,ood_low_concentration,local_mean,toluene,12,3,0.12264147174176601,0.12264147174176601,0.10921130952380949,-1.1261352754511047
