model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,-0.24147716333138813,0.2926038407965568,0.21481043886453566,0.08561700764889678
Landau-Levich Wet/Mobile Layer,analytical,-0.9431836495142749,0.36607289911673746,0.34233437807167616,0.13400936746773304
Bonded-Layer Adsorption,analytical,-4.203305841849761,0.5990324261488993,0.5384013628878284,0.35883984757783655
Bayesian Optimized RF,machine_learning,0.9988020565399167,0.009089266041510747,0.006567123817665703,8.261475717336043e-05
