concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason
0.15,1.44,0.99,0.32,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,5,ethyl_acetate:5,ethyl_acetate,legacy_individual_reading,0.00015,0.6699999999999999,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,
0.15,1.43,0.97,0.32,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,6,ethyl_acetate:6,ethyl_acetate,legacy_individual_reading,0.00015,0.6499999999999999,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,
0.15,1.44,1.02,0.31,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,7,ethyl_acetate:7,ethyl_acetate,legacy_individual_reading,0.00015,0.71,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,
0.25,1.47,1.08,0.36,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,8,ethyl_acetate:8,ethyl_acetate,legacy_individual_reading,0.00025,0.7200000000000001,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
0.25,1.47,1.12,0.35,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,9,ethyl_acetate:9,ethyl_acetate,legacy_individual_reading,0.00025,0.7700000000000001,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
0.25,1.47,1.1,0.4,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,10,ethyl_acetate:10,ethyl_acetate,legacy_individual_reading,0.00025,0.7000000000000001,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
0.5,1.48,1.53,0.26,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,11,ethyl_acetate:11,ethyl_acetate,legacy_individual_reading,0.0005,1.27,ethyl_acetate:0.5,0.7,0.423,350.372,24.0,True,True,
0.5,1.47,1.48,0.25,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,12,ethyl_acetate:12,ethyl_acetate,legacy_individual_reading,0.0005,1.23,ethyl_acetate:0.5,0.7,0.423,350.372,24.0,True,True,
0.5,1.48,1.46,0.29,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,13,ethyl_acetate:13,ethyl_acetate,legacy_individual_reading,0.0005,1.17,ethyl_acetate:0.5,0.7,0.423,350.372,24.0,True,True,
0.1,1.33,0.65,0.39,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,14,ethyl_acetate:14,ethyl_acetate,legacy_individual_reading,0.0001,0.26,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
0.1,1.31,0.65,0.34,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,15,ethyl_acetate:15,ethyl_acetate,legacy_individual_reading,0.0001,0.31,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
0.1,1.32,0.65,0.32,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,16,ethyl_acetate:16,ethyl_acetate,legacy_individual_reading,0.0001,0.33,ethyl_acetate:0.1,0.7,0.423,350.372,24.0,True,True,
0.25,1.33,0.91,0.41,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,17,ethyl_acetate:17,ethyl_acetate,legacy_individual_reading,0.00025,0.5,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
0.25,1.31,1.01,0.39,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,18,ethyl_acetate:18,ethyl_acetate,legacy_individual_reading,0.00025,0.62,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
0.25,1.32,1.01,0.47,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,19,ethyl_acetate:19,ethyl_acetate,legacy_individual_reading,0.00025,0.54,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,
1.0,1.33,1.28,0.6,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,20,ethyl_acetate:20,ethyl_acetate,legacy_individual_reading,0.001,0.68,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,
1.0,1.31,1.32,0.64,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,21,ethyl_acetate:21,ethyl_acetate,legacy_individual_reading,0.001,0.68,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,
1.0,1.32,1.23,0.61,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,ethyl_acetate:22,ethyl_acetate,legacy_individual_reading,0.001,0.62,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,
2.0,1.48,1.68,0.69,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,23,ethyl_acetate:23,ethyl_acetate,legacy_individual_reading,0.002,0.99,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,
2.0,1.5,1.69,0.66,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,24,ethyl_acetate:24,ethyl_acetate,legacy_individual_reading,0.002,1.0299999999999998,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,
2.0,1.5,1.74,0.67,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,25,ethyl_acetate:25,ethyl_acetate,legacy_individual_reading,0.002,1.0699999999999998,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,
3.0,1.48,1.99,0.71,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,26,ethyl_acetate:26,ethyl_acetate,legacy_individual_reading,0.003,1.28,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,
3.0,1.5,1.95,0.7,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,27,ethyl_acetate:27,ethyl_acetate,legacy_individual_reading,0.003,1.25,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,
3.0,1.5,1.84,0.74,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,28,ethyl_acetate:28,ethyl_acetate,legacy_individual_reading,0.003,1.1,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,
5.0,1.48,2.55,0.98,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,29,ethyl_acetate:29,ethyl_acetate,legacy_individual_reading,0.005,1.5699999999999998,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,
5.0,1.5,2.25,0.99,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,30,ethyl_acetate:30,ethyl_acetate,legacy_individual_reading,0.005,1.26,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,
5.0,1.5,2.28,0.94,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,31,ethyl_acetate:31,ethyl_acetate,legacy_individual_reading,0.005,1.3399999999999999,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,
10.0,1.58,3.51,1.08,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,32,ethyl_acetate:32,ethyl_acetate,legacy_individual_reading,0.01,2.4299999999999997,ethyl_acetate:10,0.7,0.423,350.372,24.0,True,True,
10.0,1.58,3.64,1.07,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,33,ethyl_acetate:33,ethyl_acetate,legacy_individual_reading,0.01,2.5700000000000003,ethyl_acetate:10,0.7,0.423,350.372,24.0,True,True,
10.0,1.57,4.21,1.03,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,34,ethyl_acetate:34,ethyl_acetate,legacy_individual_reading,0.01,3.1799999999999997,ethyl_acetate:10,0.7,0.423,350.372,24.0,True,True,
