concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason
0.15,1.64,0.88,0.36,models/feature engineering v1/data FE-V1/agg.data.xlsx,30,hexane:30,hexane,legacy_individual_reading,0.00015,0.52,hexane:0.15,3.9,0.377,342.039,17.89,True,True,
0.15,1.62,0.86,0.38,models/feature engineering v1/data FE-V1/agg.data.xlsx,31,hexane:31,hexane,legacy_individual_reading,0.00015,0.48,hexane:0.15,3.9,0.377,342.039,17.89,True,True,
0.25,1.62,0.98,0.41,models/feature engineering v1/data FE-V1/agg.data.xlsx,32,hexane:32,hexane,legacy_individual_reading,0.00025,0.5700000000000001,hexane:0.25,3.9,0.377,342.039,17.89,True,True,
0.25,1.62,0.95,0.4,models/feature engineering v1/data FE-V1/agg.data.xlsx,33,hexane:33,hexane,legacy_individual_reading,0.00025,0.5499999999999999,hexane:0.25,3.9,0.377,342.039,17.89,True,True,
0.25,1.63,0.94,0.41,models/feature engineering v1/data FE-V1/agg.data.xlsx,34,hexane:34,hexane,legacy_individual_reading,0.00025,0.53,hexane:0.25,3.9,0.377,342.039,17.89,True,True,
0.5,1.47,1.29,0.52,models/feature engineering v1/data FE-V1/agg.data.xlsx,35,hexane:35,hexane,legacy_individual_reading,0.0005,0.77,hexane:0.5,3.9,0.377,342.039,17.89,True,True,
0.5,1.48,1.28,0.5,models/feature engineering v1/data FE-V1/agg.data.xlsx,36,hexane:36,hexane,legacy_individual_reading,0.0005,0.78,hexane:0.5,3.9,0.377,342.039,17.89,True,True,
0.5,1.47,1.3,0.51,models/feature engineering v1/data FE-V1/agg.data.xlsx,37,hexane:37,hexane,legacy_individual_reading,0.0005,0.79,hexane:0.5,3.9,0.377,342.039,17.89,True,True,
1.0,1.48,2.02,0.6,models/feature engineering v1/data FE-V1/agg.data.xlsx,38,hexane:38,hexane,legacy_individual_reading,0.001,1.42,hexane:1,3.9,0.377,342.039,17.89,True,True,
1.0,1.48,2.01,0.59,models/feature engineering v1/data FE-V1/agg.data.xlsx,39,hexane:39,hexane,legacy_individual_reading,0.001,1.42,hexane:1,3.9,0.377,342.039,17.89,True,True,
1.0,1.49,2.01,0.57,models/feature engineering v1/data FE-V1/agg.data.xlsx,40,hexane:40,hexane,legacy_individual_reading,0.001,1.44,hexane:1,3.9,0.377,342.039,17.89,True,True,
1.5,1.55,2.71,0.49,models/feature engineering v1/data FE-V1/agg.data.xlsx,41,hexane:41,hexane,legacy_individual_reading,0.0015,2.2199999999999998,hexane:1.5,3.9,0.377,342.039,17.89,True,True,
1.5,1.52,2.69,0.47,models/feature engineering v1/data FE-V1/agg.data.xlsx,42,hexane:42,hexane,legacy_individual_reading,0.0015,2.2199999999999998,hexane:1.5,3.9,0.377,342.039,17.89,True,True,
1.5,1.5,2.68,0.47,models/feature engineering v1/data FE-V1/agg.data.xlsx,43,hexane:43,hexane,legacy_individual_reading,0.0015,2.21,hexane:1.5,3.9,0.377,342.039,17.89,True,True,
2.0,1.49,3.51,0.53,models/feature engineering v1/data FE-V1/agg.data.xlsx,44,hexane:44,hexane,legacy_individual_reading,0.002,2.9799999999999995,hexane:2,3.9,0.377,342.039,17.89,True,True,
2.0,1.49,3.5,0.54,models/feature engineering v1/data FE-V1/agg.data.xlsx,45,hexane:45,hexane,legacy_individual_reading,0.002,2.96,hexane:2,3.9,0.377,342.039,17.89,True,True,
2.0,1.48,3.53,0.54,models/feature engineering v1/data FE-V1/agg.data.xlsx,46,hexane:46,hexane,legacy_individual_reading,0.002,2.9899999999999998,hexane:2,3.9,0.377,342.039,17.89,True,True,
2.5,1.44,3.55,0.57,models/feature engineering v1/data FE-V1/agg.data.xlsx,47,hexane:47,hexane,legacy_individual_reading,0.0025,2.98,hexane:2.5,3.9,0.377,342.039,17.89,True,True,
2.5,1.42,3.63,0.57,models/feature engineering v1/data FE-V1/agg.data.xlsx,48,hexane:48,hexane,legacy_individual_reading,0.0025,3.06,hexane:2.5,3.9,0.377,342.039,17.89,True,True,
2.5,1.44,3.61,0.6,models/feature engineering v1/data FE-V1/agg.data.xlsx,49,hexane:49,hexane,legacy_individual_reading,0.0025,3.01,hexane:2.5,3.9,0.377,342.039,17.89,True,True,
3.0,1.43,4.28,0.55,models/feature engineering v1/data FE-V1/agg.data.xlsx,50,hexane:50,hexane,legacy_individual_reading,0.003,3.7300000000000004,hexane:3,3.9,0.377,342.039,17.89,True,True,
3.0,1.44,4.21,0.56,models/feature engineering v1/data FE-V1/agg.data.xlsx,51,hexane:51,hexane,legacy_individual_reading,0.003,3.65,hexane:3,3.9,0.377,342.039,17.89,True,True,
3.0,1.43,4.21,0.57,models/feature engineering v1/data FE-V1/agg.data.xlsx,52,hexane:52,hexane,legacy_individual_reading,0.003,3.64,hexane:3,3.9,0.377,342.039,17.89,True,True,
5.0,1.43,6.45,0.56,models/feature engineering v1/data FE-V1/agg.data.xlsx,53,hexane:53,hexane,legacy_individual_reading,0.005,5.890000000000001,hexane:5,3.9,0.377,342.039,17.89,True,True,
5.0,1.44,6.45,0.55,models/feature engineering v1/data FE-V1/agg.data.xlsx,54,hexane:54,hexane,legacy_individual_reading,0.005,5.9,hexane:5,3.9,0.377,342.039,17.89,True,True,
5.0,1.44,6.55,0.55,models/feature engineering v1/data FE-V1/agg.data.xlsx,55,hexane:55,hexane,legacy_individual_reading,0.005,6.0,hexane:5,3.9,0.377,342.039,17.89,True,True,
