cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,leave_one_solvent_out,hexane,ridge_log_interactions,bonded_nm,83,58,24,16,1.0,0.4448074946737992,0.11201780269125822,0.08948602292528474,-0.5307307816554987
including_summaries_sensitivity,leave_one_solvent_out,hexane,ridge_log_interactions,mobile_nm,83,58,24,16,0.05172413793103448,0.7285994087241897,3.0358993738728888,1.7401542688054572,-0.2177805996415001
including_summaries_sensitivity,leave_one_solvent_out,hexane,rf_raw,bonded_nm,83,58,24,16,0.8275862068965517,0.49835595598845556,0.19991391467586694,0.16033080082034826,-3.875405733876714
including_summaries_sensitivity,leave_one_solvent_out,hexane,rf_raw,mobile_nm,83,58,24,16,0.29310344827586204,0.5205959920634919,2.74740711202979,1.4220176386903325,0.0026666490086694195
including_summaries_sensitivity,leave_one_solvent_out,hexane,rf_log_interactions,bonded_nm,83,58,24,16,0.9655172413793104,0.5701999675324679,0.15896829289618108,0.13273277320141535,-2.082802750371363
including_summaries_sensitivity,leave_one_solvent_out,hexane,rf_log_interactions,mobile_nm,83,58,24,16,0.20689655172413793,0.43310170634920636,2.7361678872766753,1.4098028963134563,0.010809836787688876
including_summaries_sensitivity,leave_one_solvent_out,toluene,mean,bonded_nm,91,50,25,15,0.96,0.4673076923076925,0.13796325568896772,0.12377802197802198,-0.17851171835254087
including_summaries_sensitivity,leave_one_solvent_out,toluene,mean,mobile_nm,91,50,25,15,1.0,3.724615384615384,1.3587623175609918,1.3554043956043955,-201.57221181832233
including_summaries_sensitivity,leave_one_solvent_out,toluene,ridge_raw,bonded_nm,91,50,25,15,0.38,0.4587681348083093,0.7369914632305753,0.41348681043050095,-32.630393670313
including_summaries_sensitivity,leave_one_solvent_out,toluene,ridge_raw,mobile_nm,91,50,25,15,0.74,1.8742172915998214,12.194556530027993,5.802612967578393,-16315.421068783315
including_summaries_sensitivity,leave_one_solvent_out,toluene,ridge_log_interactions,bonded_nm,91,50,25,15,0.4,0.4050676228177062,0.3730393408736122,0.3460906402358868,-7.616210620393035
including_summaries_sensitivity,leave_one_solvent_out,toluene,ridge_log_interactions,mobile_nm,91,50,25,15,0.68,1.5845781563775068,5.15211280036369,3.0488421784570137,-2911.48439840326
including_summaries_sensitivity,leave_one_solvent_out,toluene,rf_raw,bonded_nm,91,50,25,15,0.72,0.4711220670995674,0.18870499147010114,0.1594257335621897,-1.2048234142375311
including_summaries_sensitivity,leave_one_solvent_out,toluene,rf_raw,mobile_nm,91,50,25,15,0.66,1.0839788946497952,2.804084614298497,1.6387281145351391,-861.7304184070973
including_summaries_sensitivity,leave_one_solvent_out,toluene,rf_log_interactions,bonded_nm,91,50,25,15,0.64,0.403393733766234,0.24762690857184924,0.19968267319902325,-2.7966687542165807
including_summaries_sensitivity,leave_one_solvent_out,toluene,rf_log_interactions,mobile_nm,91,50,25,15,0.66,1.3636641306471324,4.811668185662521,2.752318627991453,-2539.295407146493
including_summaries_sensitivity,ood_low_concentration,low,mean,bonded_nm,99,42,31,9,0.8809523809523809,0.42603174603174604,0.1301073734921259,0.11645021645021647,-0.2555867412751647
including_summaries_sensitivity,ood_low_concentration,low,mean,mobile_nm,99,42,31,9,1.0,3.058730158730159,1.2175603694734582,1.20512987012987,-48.2259994925574
including_summaries_sensitivity,ood_low_concentration,low,ridge_raw,bonded_nm,99,42,31,9,0.7857142857142857,0.45942129516874874,0.15387034597437502,0.11380763520177821,-0.756114230067743
including_summaries_sensitivity,ood_low_concentration,low,ridge_raw,mobile_nm,99,42,31,9,0.5,4.1403202408596105,1.8757463953351723,1.4832982488690665,-115.83199063079931
including_summaries_sensitivity,ood_low_concentration,low,ridge_log_interactions,bonded_nm,99,42,31,9,0.8333333333333334,0.4685696284792458,0.12941479129162803,0.09979289621381233,-0.24225494456901542
including_summaries_sensitivity,ood_low_concentration,low,ridge_log_interactions,mobile_nm,99,42,31,9,0.5476190476190477,2.6068551963551827,0.9523408065278998,0.8208220594130666,-29.116071719504685
including_summaries_sensitivity,ood_low_concentration,low,rf_raw,bonded_nm,99,42,31,9,0.8095238095238095,0.39377222222222247,0.13457603034287943,0.10073430718421789,-0.3433164361537595
including_summaries_sensitivity,ood_low_concentration,low,rf_raw,mobile_nm,99,42,31,9,1.0,1.2618044126211079,0.17453640623519662,0.14445581001339936,-0.011545900330772518
including_summaries_sensitivity,ood_low_concentration,low,rf_log_interactions,bonded_nm,99,42,31,9,0.7857142857142857,0.3406079761904755,0.11884338938081056,0.08640425569470213,-0.04759389783837786
including_summaries_sensitivity,ood_low_concentration,low,rf_log_interactions,mobile_nm,99,42,31,9,1.0,2.3236687873634296,0.16624769344956156,0.13834382262248338,0.08224915623923734
including_summaries_sensitivity,ood_high_concentration,high,mean,bonded_nm,111,30,31,9,0.7333333333333333,0.4264788732394361,0.2758913658951748,0.21322522522522522,-1.2157101844242346
including_summaries_sensitivity,ood_high_concentration,high,mean,mobile_nm,111,30,31,9,0.5333333333333333,1.4399999999999997,4.088857338334535,2.6026186186186187,-0.3981385995255933
including_summaries_sensitivity,ood_high_concentration,high,ridge_raw,bonded_nm,111,30,31,9,0.2,0.4222769875680819,1.377373190130411,0.9533598759467643,-54.22554190496749
including_summaries_sensitivity,ood_high_concentration,high,ridge_raw,mobile_nm,111,30,31,9,0.0,1.2627707732003883,17.642138890655794,12.372535779154637,-25.028478564075172
including_summaries_sensitivity,ood_high_concentration,high,ridge_log_interactions,bonded_nm,111,30,31,9,0.5333333333333333,0.3894279720290065,0.13394583259067486,0.09607504156051092,0.4777299188304335
including_summaries_sensitivity,ood_high_concentration,high,ridge_log_interactions,mobile_nm,111,30,31,9,0.16666666666666666,1.5228676504208933,3.435819202964391,2.888283959069698,0.012795980814620744
including_summaries_sensitivity,ood_high_concentration,high,rf_raw,bonded_nm,111,30,31,9,0.7666666666666667,0.46787285714285753,0.16924624205437497,0.12987842075517075,0.1661752075007351
including_summaries_sensitivity,ood_high_concentration,high,rf_raw,mobile_nm,111,30,31,9,0.1,1.5326346176046166,2.9286422322495205,1.8354662926887926,0.28273613660468466
including_summaries_sensitivity,ood_high_concentration,high,rf_log_interactions,bonded_nm,111,30,31,9,0.7666666666666667,0.42503452380952383,0.1858003991049366,0.14284170598845597,-0.004916600150023154
including_summaries_sensitivity,ood_high_concentration,high,rf_log_interactions,mobile_nm,111,30,31,9,0.06666666666666667,0.7418664285714286,3.4604528230978184,2.810567885401635,-0.001410579308212645
