cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
primary,grouped_cv,5,mean,mobile_nm,102,24,29,7,0.875,2.9899999999999998,1.861689796529104,1.2991176470588235,-0.000924140087189329
primary,grouped_cv,5,ridge_raw,bonded_nm,102,24,29,7,0.875,0.3525034195612682,0.11859214705641653,0.08885599642483803,-0.21724993911851276
primary,grouped_cv,5,ridge_raw,mobile_nm,102,24,29,7,0.625,4.219807836013355,1.7530016934677612,1.285521749881377,0.11253507435751475
primary,grouped_cv,5,ridge_log_interactions,bonded_nm,102,24,29,7,0.875,0.3945631234182474,0.1001136184785676,0.08109295359372566,0.1325304977526437
primary,grouped_cv,5,ridge_log_interactions,mobile_nm,102,24,29,7,0.75,2.6799681233555113,0.8144419785514035,0.6669410190269794,0.8084391183524517
primary,grouped_cv,5,rf_raw,bonded_nm,102,24,29,7,1.0,0.48159930375180365,0.07377819457258131,0.06058780095483209,0.5288882407824905
primary,grouped_cv,5,rf_raw,mobile_nm,102,24,29,7,0.875,1.19900516963939,0.7414815488814318,0.44562491456460246,0.8412231346870941
primary,grouped_cv,5,rf_log_interactions,bonded_nm,102,24,29,7,0.875,0.48908193278943224,0.09998745841525007,0.07481643646284265,0.13471543627644633
primary,grouped_cv,5,rf_log_interactions,mobile_nm,102,24,29,7,0.9166666666666666,2.8279908834047895,0.9647565811263681,0.5606951732815784,0.731204479901947
primary,leave_one_solvent_out,ethyl_acetate,mean,bonded_nm,93,33,27,9,0.30303030303030304,0.29533333333333345,0.26479119284452846,0.22699902248289344,-0.016683469525852423
primary,leave_one_solvent_out,ethyl_acetate,mean,mobile_nm,93,33,27,9,0.9696969696969697,3.06,0.688295048727,0.5418279569892474,-0.1419722558365204
primary,leave_one_solvent_out,ethyl_acetate,ridge_raw,bonded_nm,93,33,27,9,0.3333333333333333,0.3096373412987533,0.26262085351409614,0.2158630586004946,-8.544599335280623e-05
primary,leave_one_solvent_out,ethyl_acetate,ridge_raw,mobile_nm,93,33,27,9,0.9090909090909091,1.9475374637821783,0.9739342362810625,0.7763968747995255,-1.2864701041002102
primary,leave_one_solvent_out,ethyl_acetate,ridge_log_interactions,bonded_nm,93,33,27,9,0.3939393939393939,0.29726570288937504,0.2373448065864755,0.19597720268846539,0.1831578181346427
primary,leave_one_solvent_out,ethyl_acetate,ridge_log_interactions,mobile_nm,93,33,27,9,0.5454545454545454,0.8104288411490854,1.1922794567677089,1.0033333333333334,-2.426591900736297
primary,leave_one_solvent_out,ethyl_acetate,rf_raw,bonded_nm,93,33,27,9,0.6666666666666666,0.4138854184704187,0.2324300927602206,0.19433909927193985,0.21663637533219726
primary,leave_one_solvent_out,ethyl_acetate,rf_raw,mobile_nm,93,33,27,9,0.7272727272727273,3.3860105755986436,0.5585854075294283,0.43138747600043126,0.24788294993530768
primary,leave_one_solvent_out,ethyl_acetate,rf_log_interactions,bonded_nm,93,33,27,9,0.696969696969697,0.45017928571428567,0.23610539412385112,0.19022284411295767,0.19166662868249396
primary,leave_one_solvent_out,ethyl_acetate,rf_log_interactions,mobile_nm,93,33,27,9,1.0,5.636555061428467,0.7145002162593183,0.572880575178189,-0.23058322647032048
primary,leave_one_solvent_out,hexane,mean,bonded_nm,68,58,20,16,1.0,1.08,0.09090222446978109,0.07275862068965516,-0.008030653002510268
primary,leave_one_solvent_out,hexane,mean,mobile_nm,68,58,20,16,0.8275862068965517,3.18,3.0439309646974473,1.6638336713995943,-0.22423249538471635
primary,leave_one_solvent_out,hexane,ridge_raw,bonded_nm,68,58,20,16,1.0,1.0431380154675307,0.09349922217117203,0.07530309636531195,-0.06645052563135034
primary,leave_one_solvent_out,hexane,ridge_raw,mobile_nm,68,58,20,16,0.8275862068965517,3.177422782461135,2.892332784187046,1.734285040093219,-0.10532712139290235
primary,leave_one_solvent_out,hexane,ridge_log_interactions,bonded_nm,68,58,20,16,1.0,0.9123521308461219,0.11161695524817014,0.08797362644341318,-0.5197951685162987
primary,leave_one_solvent_out,hexane,ridge_log_interactions,mobile_nm,68,58,20,16,0.8275862068965517,3.1065752142737124,3.029766825176663,1.7335376814292331,-0.21286570946187244
primary,leave_one_solvent_out,hexane,rf_raw,bonded_nm,68,58,20,16,1.0,0.7265939992933312,0.2071944662992817,0.16996880633494862,-4.236981275529757
primary,leave_one_solvent_out,hexane,rf_raw,mobile_nm,68,58,20,16,0.7241379310344828,2.724021175318934,2.7387386226310793,1.4221111946447453,0.008950198908994511
primary,leave_one_solvent_out,hexane,rf_log_interactions,bonded_nm,68,58,20,16,1.0,0.7325081349206349,0.20375576272053417,0.17311388724063298,-4.064592619375716
primary,leave_one_solvent_out,hexane,rf_log_interactions,mobile_nm,68,58,20,16,0.7241379310344828,2.696658851230187,2.7300334791029193,1.3967682720631862,0.015240335372145086
primary,leave_one_solvent_out,toluene,mean,bonded_nm,91,35,25,11,1.0,0.4673076923076925,0.1208127290201571,0.11195604395604394,-0.036387171301294874
primary,leave_one_solvent_out,toluene,mean,mobile_nm,91,35,25,11,1.0,3.7246153846153844,1.3813163287766168,1.3793186813186813,-344.9859420595529
primary,leave_one_solvent_out,toluene,ridge_raw,bonded_nm,91,35,25,11,0.42857142857142855,0.45876813480830925,0.7864402467985318,0.4426021869566214,-42.916538412129384
primary,leave_one_solvent_out,toluene,ridge_raw,mobile_nm,91,35,25,11,0.6857142857142857,1.924419540481959,13.18276952616916,6.650644833555993,-31511.69023707968
primary,leave_one_solvent_out,toluene,ridge_log_interactions,bonded_nm,91,35,25,11,0.34285714285714286,0.40429479427486564,0.3889666316373158,0.3643307774715905,-9.742895006139417
