cohort,protocol,model,target,n,groups,rmse_nm,mae_nm,r2,group_weighted_rmse_nm,descriptive_rmse_p025,descriptive_rmse_p975,row_coverage_80,group_simultaneous_coverage_80,mean_width_nm
including_summaries_sensitivity,grouped_cv,mean,bonded_nm,141,40,0.16240135553025983,0.12544693291551226,-0.013279272744295856,0.17638721154157025,0.12459249109680426,0.22563119372263193,0.9148936170212766,0.85,0.47038753115697785
including_summaries_sensitivity,grouped_cv,mean,mobile_nm,141,40,1.969233210029244,1.1736152840914182,-0.03406886543417054,2.581292231092747,1.0482735867254207,3.84487807778049,0.9290780141843972,0.9,3.282248946448762
including_summaries_sensitivity,grouped_cv,rf_log_interactions,bonded_nm,141,40,0.12665881615113553,0.09510435260070892,0.38365949745321415,0.14814617846804656,0.11404336237987653,0.17853700944374992,0.8723404255319149,0.725,0.47364480607847653
including_summaries_sensitivity,grouped_cv,rf_log_interactions,mobile_nm,141,40,0.9677239463683425,0.47568511123480534,0.7502772347907001,1.218639487889158,0.5406067228280551,1.8080088376087609,0.8297872340425532,0.825,2.486658272665603
including_summaries_sensitivity,grouped_cv,rf_raw,bonded_nm,141,40,0.1109160616748978,0.08688397525642197,0.5273510032901458,0.12139061774787754,0.09768422546580283,0.1432982406004498,0.9078014184397163,0.85,0.43917996285826094
including_summaries_sensitivity,grouped_cv,rf_raw,mobile_nm,141,40,0.6384134427145677,0.3168820277255251,0.8913176035859647,0.8757231644995702,0.408035974741391,1.3033641690814972,0.9219858156028369,0.875,1.8436485460649075
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,bonded_nm,141,40,0.12319879812511948,0.09474537942478649,0.41687346901388733,0.1307615210007681,0.09909397570410987,0.15889767569442448,0.8652482269503546,0.775,0.41902135426216114
including_summaries_sensitivity,grouped_cv,ridge_log_interactions,mobile_nm,141,40,1.2591172974851748,0.7475901869342648,0.5772461804773391,1.5544723396091757,0.6379853536851671,2.311541970930904,0.8865248226950354,0.875,2.739210909274951
including_summaries_sensitivity,grouped_cv,ridge_raw,bonded_nm,141,40,0.15692842176461846,0.11765778630836768,0.05386507658294393,0.15985863963345948,0.11463578938077863,0.20359694607013853,0.8652482269503546,0.85,0.4656622642195358
including_summaries_sensitivity,grouped_cv,ridge_raw,mobile_nm,141,40,1.901997640854566,1.118688415744164,0.035338141325904626,2.361926154426776,1.0121645626322548,3.5035839320956117,0.950354609929078,0.925,3.4968843171480843
including_summaries_sensitivity,leave_one_solvent_out,mean,bonded_nm,141,40,0.16405768117990613,0.12743832655329707,-0.034053471450754325,0.17981749806578512,0.12786829187028623,0.22867359399139203,0.9432624113475178,0.9,0.5413605571308596
including_summaries_sensitivity,leave_one_solvent_out,mean,mobile_nm,141,40,2.1513947351403457,1.277732521979083,-0.23422790884836786,2.785420352732943,1.2780109473097852,4.0706238591229065,0.7943262411347518,0.75,2.40390884105858
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,bonded_nm,141,40,0.2340947624444366,0.18382215967838306,-1.1053933812681493,0.2489678597125298,0.19380916224184253,0.29959416275108663,0.7446808510638298,0.625,0.47350379378895374
including_summaries_sensitivity,leave_one_solvent_out,rf_log_interactions,mobile_nm,141,40,3.3749097390037157,1.6631562603659142,-2.0372426105908246,3.483582448406176,1.9060230793869852,4.661106458768104,0.5531914893617021,0.525,1.2845267549078185
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,bonded_nm,141,40,0.21545631948377636,0.17634420714084056,-0.7834803664704344,0.22976544394314954,0.18594044265416082,0.27017751317495564,0.7021276595744681,0.6,0.45958760386382713
including_summaries_sensitivity,leave_one_solvent_out,rf_raw,mobile_nm,141,40,2.440095519743521,1.260901341231545,-0.587701352299328,2.8014779164130026,1.5487969833796837,3.903069767559935,0.5602836879432624,0.5,0.9798923475185177
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,bonded_nm,141,40,0.2617011112402208,0.20519052946507682,-1.6312432114708582,0.2512906973185254,0.19805050317990341,0.3027244095727173,0.7163120567375887,0.7,0.42198338147309433
including_summaries_sensitivity,leave_one_solvent_out,ridge_log_interactions,mobile_nm,141,40,3.6792416982595952,2.0317805426494124,-2.6097057136964787,3.7923623760898812,2.1822500791958053,5.063709559034483,0.40425531914893614,0.375,1.1122216466644295
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,bonded_nm,141,40,0.4617656182306831,0.22761833350390603,-7.192058521115239,0.3900950959462887,0.1621039446238773,0.582317002363486,0.6808510638297872,0.575,0.4668885570617405
including_summaries_sensitivity,leave_one_solvent_out,ridge_raw,mobile_nm,141,40,7.508506811430023,2.93684114756957,-14.033576704621321,6.3542055241281385,1.7733370247179074,9.653361280089186,0.5177304964539007,0.55,1.5245253528789724
including_summaries_sensitivity,ood_high_concentration,mean,bonded_nm,30,9,0.2758913658951748,0.21322522522522522,-1.2157101844242346,0.2813216070199835,0.11595527038035858,0.4070822098237663,0.7333333333333333,0.6666666666666666,0.4264788732394361
including_summaries_sensitivity,ood_high_concentration,mean,mobile_nm,30,9,4.088857338334535,2.6026186186186187,-0.3981385995255933,5.412289009595216,1.9719818105993543,8.139273792421086,0.5333333333333333,0.3333333333333333,1.4399999999999997
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,bonded_nm,30,9,0.1858003991049366,0.14284170598845597,-0.004916600150023154,0.1894370216429957,0.0857018183153472,0.27263110040402355,0.7666666666666667,0.6666666666666666,0.42503452380952383
including_summaries_sensitivity,ood_high_concentration,rf_log_interactions,mobile_nm,30,9,3.4604528230978184,2.810567885401635,-0.001410579308212645,4.3382108351022035,2.0505990751580367,6.4309481471961805,0.06666666666666667,0.0,0.7418664285714286
including_summaries_sensitivity,ood_high_concentration,rf_raw,bonded_nm,30,9,0.16924624205437497,0.12987842075517075,0.1661752075007351,0.1715621950903246,0.08235257232155872,0.24555707162823412,0.7666666666666667,0.6666666666666666,0.46787285714285753
including_summaries_sensitivity,ood_high_concentration,rf_raw,mobile_nm,30,9,2.9286422322495205,1.8354662926887926,0.28273613660468466,4.051590380506518,1.1336432758055164,6.362765476238226,0.1,0.1111111111111111,1.5326346176046166
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,bonded_nm,30,9,0.13394583259067486,0.09607504156051092,0.4777299188304335,0.1347037917476569,0.06273732017248773,0.18985958746298098,0.5333333333333333,0.4444444444444444,0.3894279720290065
including_summaries_sensitivity,ood_high_concentration,ridge_log_interactions,mobile_nm,30,9,3.435819202964391,2.888283959069698,0.012795980814620744,3.8139692972040202,2.1772541412058666,5.2997584123741115,0.16666666666666666,0.1111111111111111,1.5228676504208933
including_summaries_sensitivity,ood_high_concentration,ridge_raw,bonded_nm,30,9,1.377373190130411,0.9533598759467643,-54.22554190496749,1.0916523955597008,0.28515137603473245,1.630679679603563,0.2,0.2222222222222222,0.4222769875680819
