model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.0074441506359669285,0.09020178215963831,0.07225697751044452,0.008136361504774845
Bonded-Layer Adsorption,analytical,0.0,0.09053940615327338,0.07311533894882302,0.008197384066587397
Landau-Levich Wet/Mobile Layer,analytical,-23.76817970006682,0.45059325519996546,0.4204639856895253,0.20303428163170117
Bayesian Optimized RF,machine_learning,0.9811232787135902,0.012439442684566988,0.0062125439393321625,0.00015473973430262718
