model,type,R2,RMSE,MAE,MSE
Landau-Levich Mobile Layer,analytical,0.9905294892879952,0.2677253819844332,0.21177856171475323,0.07167688015871067
Bayesian Optimized RF (Mobile Layer),machine_learning,0.999985747259052,0.010386089073534749,0.006432052558066947,0.00010787084624339792
