Model,R2,RMSE,MAE,MSE
BPNN,0.7983581418970526,0.04192024549001722,0.031124536641882247,0.0017573069819433096
KNN,0.7971714403585383,0.04204341892842303,0.02792897010314071,0.0017676490751908803
Linear Regression,0.7398078226178726,0.04761903493858362,0.03992214522589206,0.0022675724884820476
Random Forest Regression,0.8081998442277962,0.040884430221571566,0.027258662080592327,0.0016715366345425545
