model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,-1.698028456635532,0.14871709882062484,0.12734522528656086,0.022116775481623496
Landau-Levich Wet/Mobile Layer,analytical,-23.76817970006682,0.45059325519996546,0.4204639856895253,0.20303428163170117
Bonded-Layer Adsorption,analytical,-31.6036531138247,0.5169764661450357,0.5089865248523008,0.26726466654780917
Bayesian Optimized RF,machine_learning,0.9811232787135902,0.012439442684566988,0.0062125439393321625,0.00015473973430262718
