model,type,R2,RMSE,MAE,MSE
Landau-Levich Mobile Layer,analytical,-18.18601710885142,2.821235127943994,1.654359057574145,7.9593676471451635
Bayesian Optimized RF (Mobile Layer),machine_learning,0.9997904650239788,0.009323417502777376,0.006729351822651647,8.692611393109553e-05
