model,type,R2,RMSE,MAE,MSE
Concentration-Dependent Adsorption Time,analytical,0.5877557161660746,0.08752727295566075,0.06594324118394682,0.007661023511054742
Landau-Levich Wet/Mobile Layer,analytical,0.5478936978087949,0.0916613726980783,0.06911286154417942,0.008401807244896012
Bonded-Layer Adsorption,analytical,0.5470708457339652,0.09174474851362606,0.06840689723059247,0.008417098879828491
Bayesian Optimized RF,machine_learning,0.9610855675989943,0.02689189621528445,0.013063622695258958,0.00072317408205363
